Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
District of Columbia,04/19/2021,"11,700","11,700"
Maryland,04/19/2021,"90,090","90,090"
Pennsylvania,04/19/2021,"170,820","170,820"
Philadelphia,04/19/2021,"24,570","24,570"
Virginia,04/19/2021,"126,360","126,360"
West Virginia,04/19/2021,"28,080","28,080"
Alabama,04/19/2021,"72,540","72,540"
Florida,04/19/2021,"314,730","314,730"
Georgia,04/19/2021,"149,760","149,760"
Kentucky,04/19/2021,"66,690","66,690"
Mississippi,04/19/2021,"44,460","44,460"
North Carolina,04/19/2021,"150,930","150,930"
South Carolina,04/19/2021,"74,880","74,880"
Tennessee,04/19/2021,"99,450","99,450"
Chicago,04/19/2021,"40,950","40,950"
Illinois,04/19/2021,"149,760","149,760"
Indiana,04/19/2021,"97,110","97,110"
Michigan,04/19/2021,"148,590","148,590"
Minnesota,04/19/2021,"81,900","81,900"
Ohio,04/19/2021,"173,160","173,160"
Wisconsin,04/19/2021,"86,580","86,580"
Arkansas,04/19/2021,"44,460","44,460"
Louisiana,04/19/2021,"69,030","69,030"
New Mexico,04/19/2021,"31,590","31,590"
Oklahoma,04/19/2021,"57,330","57,330"
Texas,04/19/2021,"394,290","394,290"
Iowa,04/19/2021,"46,800","46,800"
Kansas,04/19/2021,"42,120","42,120"
Missouri,04/19/2021,"90,090","90,090"
Nebraska,04/19/2021,"28,080","28,080"
Colorado,04/19/2021,"81,900","81,900"
Montana,04/19/2021,"16,380","16,380"
North Dakota,04/19/2021,"11,700","11,700"
South Dakota,04/19/2021,"12,870","12,870"
Utah,04/19/2021,"40,950","40,950"
Wyoming,04/19/2021,"9,360","9,360"
Arizona,04/19/2021,"102,960","102,960"
California,04/19/2021,"575,640","575,640"
Hawaii,04/19/2021,"22,230","22,230"
Nevada,04/19/2021,"43,290","43,290"
American Samoa,04/19/2021,0,0
Guam,04/19/2021,0,0
Marshall Islands,04/19/2021,0,0
Micronesia,04/19/2021,0,0
Mariana Islands,04/19/2021,0,0
Palau,04/19/2021,0,0
Alaska,04/19/2021,0,0
Idaho,04/19/2021,"24,570","24,570"
Oregon,04/19/2021,"62,010","62,010"
Washington,04/19/2021,"109,980","109,980"
Federal Entities,04/19/2021,"203,580","203,580"
Connecticut,04/12/2021,"51,480","51,480"
Maine,04/12/2021,"19,890","19,890"
Massachusetts,04/12/2021,"97,110","97,110"
New Hampshire,04/12/2021,"19,890","19,890"
Rhode Island,04/12/2021,"15,210","15,210"
Vermont,04/12/2021,"9,360","9,360"
New Jersey,04/12/2021,"124,020","124,020"
New York,04/12/2021,"156,780","156,780"
New York City,04/12/2021,"119,340","119,340"
Puerto Rico,04/12/2021,"49,140","49,140"
U.S. Virgin Islands,04/12/2021,"2,340","2,340"
Delaware,04/12/2021,"14,040","14,040"
District of Columbia,04/12/2021,"10,530","10,530"
Maryland,04/12/2021,"83,070","83,070"
Pennsylvania,04/12/2021,"159,120","159,120"
Philadelphia,04/12/2021,"22,230","22,230"
Virginia,04/12/2021,"117,000","117,000"
West Virginia,04/12/2021,"26,910","26,910"
Alabama,04/12/2021,"67,860","67,860"
Florida,04/12/2021,"293,670","293,670"
Georgia,04/12/2021,"139,230","139,230"
Kentucky,04/12/2021,"62,010","62,010"
Mississippi,04/12/2021,"40,950","40,950"
North Carolina,04/12/2021,"140,400","140,400"
South Carolina,04/12/2021,"69,030","69,030"
Tennessee,04/12/2021,"92,430","92,430"
Chicago,04/12/2021,"37,440","37,440"
Illinois,04/12/2021,"139,230","139,230"
Indiana,04/12/2021,"91,260","91,260"
Michigan,04/12/2021,"139,230","139,230"
Minnesota,04/12/2021,"76,050","76,050"
Ohio,04/12/2021,"161,460","161,460"
Wisconsin,04/12/2021,"80,730","80,730"
Arkansas,04/12/2021,"40,950","40,950"
Louisiana,04/12/2021,"64,350","64,350"
New Mexico,04/12/2021,"29,250","29,250"
Oklahoma,04/12/2021,"53,820","53,820"
Texas,04/12/2021,"367,380","367,380"
Iowa,04/12/2021,"43,290","43,290"
Kansas,04/12/2021,"39,780","39,780"
Missouri,04/12/2021,"84,240","84,240"
Nebraska,04/12/2021,"26,910","26,910"
Colorado,04/12/2021,"76,050","76,050"
Montana,04/12/2021,"15,210","15,210"
North Dakota,04/12/2021,"10,530","10,530"
South Dakota,04/12/2021,"11,700","11,700"
Utah,04/12/2021,"38,610","38,610"
Wyoming,04/12/2021,"8,190","8,190"
Arizona,04/12/2021,"95,940","95,940"
California,04/12/2021,"535,860","535,860"
Hawaii,04/12/2021,"19,890","19,890"
Nevada,04/12/2021,"40,950","40,950"
American Samoa,04/12/2021,0,0
Guam,04/12/2021,0,0
Marshall Islands,04/12/2021,0,0
Micronesia,04/12/2021,0,0
Mariana Islands,04/12/2021,0,0
Palau,04/12/2021,0,0
Alaska,04/12/2021,0,0
Idaho,04/12/2021,"23,400","23,400"
Oregon,04/12/2021,"58,500","58,500"
Washington,04/12/2021,"102,960","102,960"
Federal Entities,04/12/2021,"201,240","201,240"
Connecticut,04/05/2021,"50,310","50,310"
Maine,04/05/2021,"19,890","19,890"
Massachusetts,04/05/2021,"95,940","95,940"
New Hampshire,04/05/2021,"19,890","19,890"
Rhode Island,04/05/2021,"15,210","15,210"
Vermont,04/05/2021,"9,360","9,360"
New Jersey,04/05/2021,"120,510","120,510"
New York,04/05/2021,"153,270","153,270"
New York City,04/05/2021,"117,000","117,000"
Puerto Rico,04/05/2021,"47,970","47,970"
U.S. Virgin Islands,04/05/2021,"2,340","2,340"
Delaware,04/05/2021,"14,040","14,040"
District of Columbia,04/05/2021,"10,530","10,530"
Maryland,04/05/2021,"81,900","81,900"
Pennsylvania,04/05/2021,"155,610","155,610"
Philadelphia,04/05/2021,"22,230","22,230"
Virginia,04/05/2021,"114,660","114,660"
West Virginia,04/05/2021,"25,740","25,740"
Alabama,04/05/2021,"66,690","66,690"
Florida,04/05/2021,"286,650","286,650"
Georgia,04/05/2021,"136,890","136,890"
Kentucky,04/05/2021,"60,840","60,840"
Mississippi,04/05/2021,"39,780","39,780"
North Carolina,04/05/2021,"138,060","138,060"
South Carolina,04/05/2021,"67,860","67,860"
Tennessee,04/05/2021,"90,090","90,090"
Chicago,04/05/2021,"37,440","37,440"
Illinois,04/05/2021,"136,890","136,890"
Indiana,04/05/2021,"88,920","88,920"
Michigan,04/05/2021,"135,720","135,720"
Minnesota,04/05/2021,"74,880","74,880"
Ohio,04/05/2021,"157,950","157,950"
Wisconsin,04/05/2021,"79,560","79,560"
Arkansas,04/05/2021,"39,780","39,780"
Louisiana,04/05/2021,"62,010","62,010"
New Mexico,04/05/2021,"29,250","29,250"
Oklahoma,04/05/2021,"52,650","52,650"
Texas,04/05/2021,"359,190","359,190"
Iowa,04/05/2021,"42,120","42,120"
Kansas,04/05/2021,"38,610","38,610"
Missouri,04/05/2021,"83,070","83,070"
Nebraska,04/05/2021,"25,740","25,740"
Colorado,04/05/2021,"74,880","74,880"
Montana,04/05/2021,"15,210","15,210"
North Dakota,04/05/2021,"10,530","10,530"
South Dakota,04/05/2021,"11,700","11,700"
Utah,04/05/2021,"37,440","37,440"
Wyoming,04/05/2021,"8,190","8,190"
Arizona,04/05/2021,"93,600","93,600"
California,04/05/2021,"524,160","524,160"
Hawaii,04/05/2021,"19,890","19,890"
Nevada,04/05/2021,"39,780","39,780"
American Samoa,04/05/2021,0,0
Guam,04/05/2021,0,0
Marshall Islands,04/05/2021,0,0
Micronesia,04/05/2021,0,0
Mariana Islands,04/05/2021,0,0
Palau,04/05/2021,0,0
Alaska,04/05/2021,0,0
Idaho,04/05/2021,"22,230","22,230"
Oregon,04/05/2021,"57,330","57,330"
Washington,04/05/2021,"100,620","100,620"
Federal Entities,04/05/2021,"243,360","243,360"
Connecticut,03/29/2021,"60,840","60,840"
Maine,03/29/2021,"23,400","23,400"
Massachusetts,03/29/2021,"117,000","117,000"
New Hampshire,03/29/2021,"23,400","23,400"
Rhode Island,03/29/2021,"18,720","18,720"
Vermont,03/29/2021,"11,700","11,700"
New Jersey,03/29/2021,"148,590","148,590"
New York,03/29/2021,"188,370","188,370"
New York City,03/29/2021,"143,910","143,910"
Puerto Rico,03/29/2021,"58,500","58,500"
U.S. Virgin Islands,03/29/2021,"2,340","2,340"
Delaware,03/29/2021,"16,380","16,380"
District of Columbia,03/29/2021,"12,870","12,870"
Maryland,03/29/2021,"100,620","100,620"
Pennsylvania,03/29/2021,"190,710","190,710"
Philadelphia,03/29/2021,"26,910","26,910"
Virginia,03/29/2021,"140,400","140,400"
West Virginia,03/29/2021,"31,590","31,590"
Alabama,03/29/2021,"80,730","80,730"
Florida,03/29/2021,"352,170","352,170"
Georgia,03/29/2021,"167,310","167,310"
Kentucky,03/29/2021,"73,710","73,710"
Mississippi,03/29/2021,"49,140","49,140"
North Carolina,03/29/2021,"168,480","168,480"
South Carolina,03/29/2021,"83,070","83,070"
Tennessee,03/29/2021,"111,150","111,150"
Chicago,03/29/2021,"45,630","45,630"
Illinois,03/29/2021,"167,310","167,310"
Indiana,03/29/2021,"108,810","108,810"
Michigan,03/29/2021,"166,140","166,140"
Minnesota,03/29/2021,"91,260","91,260"
Ohio,03/29/2021,"194,220","194,220"
Wisconsin,03/29/2021,"97,110","97,110"
Arkansas,03/29/2021,"49,140","49,140"
Louisiana,03/29/2021,"77,220","77,220"
New Mexico,03/29/2021,"35,100","35,100"
Oklahoma,03/29/2021,"64,350","64,350"
Texas,03/29/2021,"441,090","441,090"
Iowa,03/29/2021,"51,480","51,480"
Kansas,03/29/2021,"47,970","47,970"
Missouri,03/29/2021,"101,790","101,790"
Nebraska,03/29/2021,"31,590","31,590"
Colorado,03/29/2021,"92,430","92,430"
Montana,03/29/2021,"17,550","17,550"
North Dakota,03/29/2021,"12,870","12,870"
South Dakota,03/29/2021,"14,040","14,040"
Utah,03/29/2021,"46,800","46,800"
Wyoming,03/29/2021,"10,530","10,530"
Arizona,03/29/2021,"114,660","114,660"
California,03/29/2021,"644,670","644,670"
Hawaii,03/29/2021,"24,570","24,570"
Nevada,03/29/2021,"49,140","49,140"
American Samoa,03/29/2021,"11,700",0
Guam,03/29/2021,"25,740",0
Marshall Islands,03/29/2021,0,0
Micronesia,03/29/2021,0,0
Mariana Islands,03/29/2021,"11,700",0
Palau,03/29/2021,0,0
Alaska,03/29/2021,"91,260","79,560"
Idaho,03/29/2021,"26,910","26,910"
Oregon,03/29/2021,"70,200","70,200"
Washington,03/29/2021,"122,850","122,850"
Federal Entities,03/29/2021,"201,240","201,240"
Connecticut,03/22/2021,"50,310","50,310"
Maine,03/22/2021,"19,890","19,890"
Massachusetts,03/22/2021,"95,940","95,940"
New Hampshire,03/22/2021,"19,890","19,890"
Rhode Island,03/22/2021,"15,210","15,210"
Vermont,03/22/2021,"9,360","9,360"
New Jersey,03/22/2021,"120,510","120,510"
New York,03/22/2021,"153,270","153,270"
New York City,03/22/2021,"117,000","117,000"
Puerto Rico,03/22/2021,"47,970","47,970"
U.S. Virgin Islands,03/22/2021,"2,340","2,340"
Delaware,03/22/2021,"14,040","14,040"
District of Columbia,03/22/2021,"10,530","10,530"
Maryland,03/22/2021,"81,900","81,900"
Pennsylvania,03/22/2021,"155,610","155,610"
Philadelphia,03/22/2021,"22,230","22,230"
Virginia,03/22/2021,"114,660","114,660"
West Virginia,03/22/2021,"25,740","25,740"
Alabama,03/22/2021,"66,690","66,690"
Florida,03/22/2021,"286,650","286,650"
Georgia,03/22/2021,"136,890","136,890"
Kentucky,03/22/2021,"60,840","60,840"
Mississippi,03/22/2021,"39,780","39,780"
North Carolina,03/22/2021,"138,060","138,060"
South Carolina,03/22/2021,"67,860","67,860"
Tennessee,03/22/2021,"90,090","90,090"
Chicago,03/22/2021,"37,440","37,440"
Illinois,03/22/2021,"136,890","136,890"
Indiana,03/22/2021,"88,920","88,920"
Michigan,03/22/2021,"135,720","135,720"
Minnesota,03/22/2021,"74,880","74,880"
Ohio,03/22/2021,"157,950","157,950"
Wisconsin,03/22/2021,"79,560","79,560"
Arkansas,03/22/2021,"39,780","39,780"
Louisiana,03/22/2021,"62,010","62,010"
New Mexico,03/22/2021,"29,250","29,250"
Oklahoma,03/22/2021,"52,650","52,650"
Texas,03/22/2021,"359,190","359,190"
Iowa,03/22/2021,"42,120","42,120"
Kansas,03/22/2021,"38,610","38,610"
Missouri,03/22/2021,"83,070","83,070"
Nebraska,03/22/2021,"25,740","25,740"
Colorado,03/22/2021,"74,880","74,880"
Montana,03/22/2021,"15,210","15,210"
North Dakota,03/22/2021,"10,530","10,530"
South Dakota,03/22/2021,"11,700","11,700"
Utah,03/22/2021,"37,440","37,440"
Wyoming,03/22/2021,"8,190","8,190"
Arizona,03/22/2021,"93,600","93,600"
California,03/22/2021,"524,160","524,160"
Hawaii,03/22/2021,"19,890","19,890"
Nevada,03/22/2021,"39,780","39,780"
American Samoa,03/22/2021,0,0
Guam,03/22/2021,0,0
Marshall Islands,03/22/2021,0,0
Micronesia,03/22/2021,0,0
Mariana Islands,03/22/2021,0,0
Palau,03/22/2021,0,0
Alaska,03/22/2021,0,0
Idaho,03/22/2021,"22,230","22,230"
Oregon,03/22/2021,"57,330","57,330"
Washington,03/22/2021,"100,620","100,620"
Federal Entities,03/22/2021,"195,390","195,390"
Connecticut,03/15/2021,"49,140","49,140"
Maine,03/15/2021,"18,720","18,720"
Massachusetts,03/15/2021,"93,600","93,600"
New Hampshire,03/15/2021,"18,720","18,720"
Rhode Island,03/15/2021,"15,210","15,210"
Vermont,03/15/2021,"9,360","9,360"
New Jersey,03/15/2021,"119,340","119,340"
New York,03/15/2021,"150,930","150,930"
New York City,03/15/2021,"114,660","114,660"
Puerto Rico,03/15/2021,"46,800","46,800"
U.S. Virgin Islands,03/15/2021,"2,340","2,340"
Delaware,03/15/2021,"12,870","12,870"
District of Columbia,03/15/2021,"10,530","10,530"
Maryland,03/15/2021,"80,730","80,730"
Pennsylvania,03/15/2021,"153,270","153,270"
Philadelphia,03/15/2021,"22,230","22,230"
Virginia,03/15/2021,"112,320","112,320"
West Virginia,03/15/2021,"25,740","25,740"
Alabama,03/15/2021,"65,520","65,520"
Florida,03/15/2021,"281,970","281,970"
Georgia,03/15/2021,"134,550","134,550"
Kentucky,03/15/2021,"59,670","59,670"
Mississippi,03/15/2021,"39,780","39,780"
North Carolina,03/15/2021,"135,720","135,720"
South Carolina,03/15/2021,"66,690","66,690"
Tennessee,03/15/2021,"88,920","88,920"
Chicago,03/15/2021,"36,270","36,270"
Illinois,03/15/2021,"134,550","134,550"
Indiana,03/15/2021,"87,750","87,750"
Michigan,03/15/2021,"133,380","133,380"
Minnesota,03/15/2021,"73,710","73,710"
Ohio,03/15/2021,"155,610","155,610"
Wisconsin,03/15/2021,"78,390","78,390"
Arkansas,03/15/2021,"39,780","39,780"
Louisiana,03/15/2021,"62,010","62,010"
New Mexico,03/15/2021,"28,080","28,080"
Oklahoma,03/15/2021,"51,480","51,480"
Texas,03/15/2021,"353,340","353,340"
Iowa,03/15/2021,"42,120","42,120"
Kansas,03/15/2021,"38,610","38,610"
Missouri,03/15/2021,"80,730","80,730"
Nebraska,03/15/2021,"25,740","25,740"
Colorado,03/15/2021,"73,710","73,710"
Montana,03/15/2021,"14,040","14,040"
North Dakota,03/15/2021,"10,530","10,530"
South Dakota,03/15/2021,"11,700","11,700"
Utah,03/15/2021,"37,440","37,440"
Wyoming,03/15/2021,"8,190","8,190"
Arizona,03/15/2021,"92,430","92,430"
California,03/15/2021,"515,970","515,970"
Hawaii,03/15/2021,"19,890","19,890"
Nevada,03/15/2021,"38,610","38,610"
American Samoa,03/15/2021,0,0
Guam,03/15/2021,0,0
Marshall Islands,03/15/2021,0,0
Micronesia,03/15/2021,0,0
Mariana Islands,03/15/2021,0,0
Palau,03/15/2021,0,0
Alaska,03/15/2021,0,0
Idaho,03/15/2021,"22,230","22,230"
Oregon,03/15/2021,"56,160","56,160"
Washington,03/15/2021,"98,280","98,280"
Federal Entities,03/15/2021,"182,520","182,520"
Connecticut,03/08/2021,"45,630","45,630"
Maine,03/08/2021,"17,550","17,550"
Massachusetts,03/08/2021,"87,750","87,750"
New Hampshire,03/08/2021,"17,550","17,550"
Rhode Island,03/08/2021,"14,040","14,040"
Vermont,03/08/2021,"8,190","8,190"
New Jersey,03/08/2021,"111,150","111,150"
New York,03/08/2021,"140,400","140,400"
New York City,03/08/2021,"106,470","106,470"
Puerto Rico,03/08/2021,"43,290","43,290"
U.S. Virgin Islands,03/08/2021,"2,340","2,340"
Delaware,03/08/2021,"12,870","12,870"
District of Columbia,03/08/2021,"9,360","9,360"
Maryland,03/08/2021,"74,880","74,880"
Pennsylvania,03/08/2021,"141,570","141,570"
Philadelphia,03/08/2021,"19,890","19,890"
Virginia,03/08/2021,"105,300","105,300"
West Virginia,03/08/2021,"23,400","23,400"
Alabama,03/08/2021,"60,840","60,840"
Florida,03/08/2021,"262,080","262,080"
Georgia,03/08/2021,"125,190","125,190"
Kentucky,03/08/2021,"54,990","54,990"
Mississippi,03/08/2021,"36,270","36,270"
North Carolina,03/08/2021,"126,360","126,360"
South Carolina,03/08/2021,"62,010","62,010"
Tennessee,03/08/2021,"83,070","83,070"
Chicago,03/08/2021,"33,930","33,930"
Illinois,03/08/2021,"125,190","125,190"
Indiana,03/08/2021,"80,730","80,730"
Michigan,03/08/2021,"124,020","124,020"
Minnesota,03/08/2021,"67,860","67,860"
Ohio,03/08/2021,"143,910","143,910"
Wisconsin,03/08/2021,"72,540","72,540"
Arkansas,03/08/2021,"37,440","37,440"
Louisiana,03/08/2021,"57,330","57,330"
New Mexico,03/08/2021,"25,740","25,740"
Oklahoma,03/08/2021,"47,970","47,970"
Texas,03/08/2021,"328,770","328,770"
Iowa,03/08/2021,"38,610","38,610"
Kansas,03/08/2021,"35,100","35,100"
Missouri,03/08/2021,"76,050","76,050"
Nebraska,03/08/2021,"23,400","23,400"
Colorado,03/08/2021,"69,030","69,030"
Montana,03/08/2021,"14,040","14,040"
North Dakota,03/08/2021,"10,530","10,530"
South Dakota,03/08/2021,"10,530","10,530"
Utah,03/08/2021,"35,100","35,100"
Wyoming,03/08/2021,"8,190","8,190"
Arizona,03/08/2021,"85,410","85,410"
California,03/08/2021,"479,700","479,700"
Hawaii,03/08/2021,"18,720","18,720"
Nevada,03/08/2021,"36,270","36,270"
American Samoa,03/08/2021,0,0
Guam,03/08/2021,0,0
Marshall Islands,03/08/2021,0,0
Micronesia,03/08/2021,0,0
Mariana Islands,03/08/2021,0,0
Palau,03/08/2021,0,0
Alaska,03/08/2021,0,0
Idaho,03/08/2021,"19,890","19,890"
Oregon,03/08/2021,"51,480","51,480"
Washington,03/08/2021,"91,260","91,260"
Federal Entities,03/08/2021,"230,490","221,130"
Alabama,03/01/2021,"54,990","54,990"
Alaska,03/01/2021,"53,820","53,820"
American Samoa,03/01/2021,"9,360",0
Arizona,03/01/2021,"78,390","78,390"
Arkansas,03/01/2021,"33,930","33,930"
California,03/01/2021,"438,750","438,750"
Chicago,03/01/2021,"31,590","31,590"
Colorado,03/01/2021,"63,180","63,180"
Connecticut,03/01/2021,"42,120","42,120"
Delaware,03/01/2021,"11,700","11,700"
District of Columbia,03/01/2021,"9,360","9,360"
Federal Entities,03/01/2021,"209,430","190,710"
Florida,03/01/2021,"239,850","239,850"
Georgia,03/01/2021,"114,660","114,660"
Guam,03/01/2021,"21,060",0
Hawaii,03/01/2021,"16,380","16,380"
Idaho,03/01/2021,"18,720","18,720"
Illinois,03/01/2021,"114,660","114,660"
Indiana,03/01/2021,"74,880","74,880"
Iowa,03/01/2021,"35,100","35,100"
Kansas,03/01/2021,"32,760","32,760"
Kentucky,03/01/2021,"50,310","50,310"
Louisiana,03/01/2021,"52,650","52,650"
Maine,03/01/2021,"16,380","16,380"
Mariana Islands,03/01/2021,"9,360",0
Marshall Islands,03/01/2021,0,0
Maryland,03/01/2021,"69,030","69,030"
Massachusetts,03/01/2021,"79,560","79,560"
Michigan,03/01/2021,"113,490","113,490"
Micronesia,03/01/2021,0,0
Minnesota,03/01/2021,"62,010","62,010"
Mississippi,03/01/2021,"33,930","33,930"
Missouri,03/01/2021,"69,030","69,030"
Montana,03/01/2021,"12,870","12,870"
Nebraska,03/01/2021,"22,230","22,230"
Nevada,03/01/2021,"33,930","33,930"
New Hampshire,03/01/2021,"16,380","16,380"
New Jersey,03/01/2021,"101,790","101,790"
New Mexico,03/01/2021,"24,570","24,570"
New York,03/01/2021,"128,700","128,700"
New York City,03/01/2021,"98,280","98,280"
North Carolina,03/01/2021,"115,830","115,830"
North Dakota,03/01/2021,"9,360","9,360"
Ohio,03/01/2021,"132,210","132,210"
Oklahoma,03/01/2021,"43,290","43,290"
Oregon,03/01/2021,"47,970","47,970"
Palau,03/01/2021,0,0
Pennsylvania,03/01/2021,"129,870","129,870"
Philadelphia,03/01/2021,"18,720","18,720"
Puerto Rico,03/01/2021,"39,780","39,780"
Rhode Island,03/01/2021,"12,870","12,870"
South Carolina,03/01/2021,"57,330","57,330"
South Dakota,03/01/2021,"10,530","10,530"
Tennessee,03/01/2021,"76,050","76,050"
Texas,03/01/2021,"300,690","300,690"
U.S. Virgin Islands,03/01/2021,"2,340","2,340"
Utah,03/01/2021,"31,590","31,590"
Vermont,03/01/2021,"8,190","8,190"
Virginia,03/01/2021,"95,940","95,940"
Washington,03/01/2021,"84,240","84,240"
West Virginia,03/01/2021,"22,230","22,230"
Wisconsin,03/01/2021,"66,690","66,690"
Wyoming,03/01/2021,"7,020","7,020"
Alabama,02/22/2021,"47,970","47,970"
Alaska,02/22/2021,0,0
American Samoa,02/22/2021,0,0
Arizona,02/22/2021,"69,030","69,030"
Arkansas,02/22/2021,"29,250","29,250"
California,02/22/2021,"382,590","382,590"
Chicago,02/22/2021,"26,910","26,910"
Colorado,02/22/2021,"54,990","54,990"
Connecticut,02/22/2021,"36,270","36,270"
Delaware,02/22/2021,"10,530","10,530"
District of Columbia,02/22/2021,"8,190","8,190"
Federal Entities,02/22/2021,"166,140","166,140"
Florida,02/22/2021,"209,430","209,430"
Georgia,02/22/2021,"99,450","99,450"
Guam,02/22/2021,0,0
Hawaii,02/22/2021,"15,210","15,210"
Idaho,02/22/2021,"16,380","16,380"
Illinois,02/22/2021,"99,450","99,450"
Indiana,02/22/2021,"64,350","64,350"
Iowa,02/22/2021,"31,590","31,590"
Kansas,02/22/2021,"28,080","28,080"
Kentucky,02/22/2021,"44,460","44,460"
Louisiana,02/22/2021,"45,630","45,630"
Maine,02/22/2021,"14,040","14,040"
Mariana Islands,02/22/2021,0,0
Marshall Islands,02/22/2021,0,0
Maryland,02/22/2021,"59,670","59,670"
Massachusetts,02/22/2021,"70,200","70,200"
Michigan,02/22/2021,"99,450","99,450"
Micronesia,02/22/2021,0,0
Minnesota,02/22/2021,"54,990","54,990"
Mississippi,02/22/2021,"29,250","29,250"
Missouri,02/22/2021,"60,840","60,840"
Montana,02/22/2021,"10,530","10,530"
Nebraska,02/22/2021,"18,720","18,720"
Nevada,02/22/2021,"29,250","29,250"
New Hampshire,02/22/2021,"14,040","14,040"
New Jersey,02/22/2021,"88,920","88,920"
New Mexico,02/22/2021,"21,060","21,060"
New York,02/22/2021,"112,320","112,320"
New York City,02/22/2021,"85,410","85,410"
North Carolina,02/22/2021,"100,620","100,620"
North Dakota,02/22/2021,"8,190","8,190"
Ohio,02/22/2021,"115,830","115,830"
Oklahoma,02/22/2021,"38,610","38,610"
Oregon,02/22/2021,"42,120","42,120"
Palau,02/22/2021,0,0
Pennsylvania,02/22/2021,"113,490","113,490"
Philadelphia,02/22/2021,"16,380","16,380"
Puerto Rico,02/22/2021,"35,100","35,100"
Rhode Island,02/22/2021,"11,700","11,700"
South Carolina,02/22/2021,"49,140","49,140"
South Dakota,02/22/2021,"9,360","9,360"
Tennessee,02/22/2021,"65,520","65,520"
Texas,02/22/2021,"262,080","262,080"
U.S. Virgin Islands,02/22/2021,"1,170","1,170"
Utah,02/22/2021,"28,080","28,080"
Vermont,02/22/2021,"7,020","7,020"
Virginia,02/22/2021,"84,240","84,240"
Washington,02/22/2021,"73,710","73,710"
West Virginia,02/22/2021,"18,720","18,720"
Wisconsin,02/22/2021,"58,500","58,500"
Wyoming,02/22/2021,"5,850","5,850"
Alabama,02/15/2021,"30,225","30,225"
Alaska,02/15/2021,0,0
American Samoa,02/15/2021,0,0
Arizona,02/15/2021,"42,900","42,900"
Arkansas,02/15/2021,"18,525","18,525"
California,02/15/2021,"241,800","241,800"
Chicago,02/15/2021,"17,550","17,550"
Colorado,02/15/2021,"35,100","35,100"
Connecticut,02/15/2021,"23,400","23,400"
Delaware,02/15/2021,"6,825","6,825"
District of Columbia,02/15/2021,"4,875","4,875"
Federal Entities,02/15/2021,"105,300","105,300"
Florida,02/15/2021,"132,600","132,600"
Georgia,02/15/2021,"63,375","63,375"
Guam,02/15/2021,0,0
Hawaii,02/15/2021,"9,750","9,750"
Idaho,02/15/2021,"10,725","10,725"
Illinois,02/15/2021,"63,375","63,375"
Indiana,02/15/2021,"40,950","40,950"
Iowa,02/15/2021,"19,500","19,500"
Kansas,02/15/2021,"18,525","18,525"
Kentucky,02/15/2021,"28,275","28,275"
Louisiana,02/15/2021,"29,250","29,250"
Maine,02/15/2021,"8,775","8,775"
Mariana Islands,02/15/2021,0,0
Marshall Islands,02/15/2021,0,0
Maryland,02/15/2021,"38,025","38,025"
Massachusetts,02/15/2021,"43,875","43,875"
Michigan,02/15/2021,"62,400","62,400"
Micronesia,02/15/2021,0,0
Minnesota,02/15/2021,"34,125","34,125"
Mississippi,02/15/2021,"18,525","18,525"
Missouri,02/15/2021,"38,025","38,025"
