Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Montana,02/15/2021,"6,825","6,825"
Nebraska,02/15/2021,"11,700","11,700"
Nevada,02/15/2021,"18,525","18,525"
New Hampshire,02/15/2021,"8,775","8,775"
New Jersey,02/15/2021,"55,575","55,575"
New Mexico,02/15/2021,"13,650","13,650"
New York,02/15/2021,"71,175","71,175"
New York City,02/15/2021,"53,625","53,625"
North Carolina,02/15/2021,"63,375","63,375"
North Dakota,02/15/2021,"4,875","4,875"
Ohio,02/15/2021,"73,125","73,125"
Oklahoma,02/15/2021,"24,375","24,375"
Oregon,02/15/2021,"26,325","26,325"
Palau,02/15/2021,0,0
Pennsylvania,02/15/2021,"71,175","71,175"
Philadelphia,02/15/2021,"10,725","10,725"
Puerto Rico,02/15/2021,"22,425","22,425"
Rhode Island,02/15/2021,"6,825","6,825"
South Carolina,02/15/2021,"31,200","31,200"
South Dakota,02/15/2021,"5,850","5,850"
Tennessee,02/15/2021,"41,925","41,925"
Texas,02/15/2021,"165,750","165,750"
U.S. Virgin Islands,02/15/2021,975,975
Utah,02/15/2021,"17,550","17,550"
Vermont,02/15/2021,"4,875","4,875"
Virginia,02/15/2021,"52,650","52,650"
Washington,02/15/2021,"46,800","46,800"
West Virginia,02/15/2021,"11,700","11,700"
Wisconsin,02/15/2021,"37,050","37,050"
Wyoming,02/15/2021,"3,900","3,900"
Alabama,02/08/2021,"30,225","30,225"
Alaska,02/08/2021,0,0
American Samoa,02/08/2021,0,0
Arizona,02/08/2021,"42,900","42,900"
Arkansas,02/08/2021,"18,525","18,525"
California,02/08/2021,"241,800","241,800"
Chicago,02/08/2021,"17,550","17,550"
Colorado,02/08/2021,"35,100","35,100"
Connecticut,02/08/2021,"23,400","23,400"
Delaware,02/08/2021,"6,825","6,825"
District of Columbia,02/08/2021,"4,875","4,875"
Federal Entities,02/08/2021,"105,300","105,300"
Florida,02/08/2021,"132,600","132,600"
Georgia,02/08/2021,"63,375","63,375"
Guam,02/08/2021,0,0
Hawaii,02/08/2021,"9,750","9,750"
Idaho,02/08/2021,"10,725","10,725"
Illinois,02/08/2021,"63,375","63,375"
Indiana,02/08/2021,"40,950","40,950"
Iowa,02/08/2021,"19,500","19,500"
Kansas,02/08/2021,"18,525","18,525"
Kentucky,02/08/2021,"28,275","28,275"
Louisiana,02/08/2021,"29,250","29,250"
Maine,02/08/2021,"8,775","8,775"
Mariana Islands,02/08/2021,0,0
Marshall Islands,02/08/2021,0,0
Maryland,02/08/2021,"38,025","38,025"
Massachusetts,02/08/2021,"43,875","43,875"
Michigan,02/08/2021,"62,400","62,400"
Micronesia,02/08/2021,0,0
Minnesota,02/08/2021,"34,125","34,125"
Mississippi,02/08/2021,"18,525","18,525"
Missouri,02/08/2021,"38,025","38,025"
Montana,02/08/2021,"6,825","6,825"
Nebraska,02/08/2021,"11,700","11,700"
Nevada,02/08/2021,"18,525","18,525"
New Hampshire,02/08/2021,"8,775","8,775"
New Jersey,02/08/2021,"55,575","55,575"
New Mexico,02/08/2021,"13,650","13,650"
New York,02/08/2021,"71,175","71,175"
New York City,02/08/2021,"53,625","53,625"
North Carolina,02/08/2021,"63,375","63,375"
North Dakota,02/08/2021,"4,875","4,875"
Ohio,02/08/2021,"73,125","73,125"
Oklahoma,02/08/2021,"24,375","24,375"
Oregon,02/08/2021,"26,325","26,325"
Palau,02/08/2021,0,0
Pennsylvania,02/08/2021,"71,175","71,175"
Philadelphia,02/08/2021,"10,725","10,725"
Puerto Rico,02/08/2021,"22,425","22,425"
Rhode Island,02/08/2021,"6,825","6,825"
South Carolina,02/08/2021,"31,200","31,200"
South Dakota,02/08/2021,"5,850","5,850"
Tennessee,02/08/2021,"41,925","41,925"
Texas,02/08/2021,"165,750","165,750"
U.S. Virgin Islands,02/08/2021,975,975
Utah,02/08/2021,"17,550","17,550"
Vermont,02/08/2021,"4,875","4,875"
Virginia,02/08/2021,"52,650","52,650"
Washington,02/08/2021,"46,800","46,800"
West Virginia,02/08/2021,"11,700","11,700"
Wisconsin,02/08/2021,"37,050","37,050"
Wyoming,02/08/2021,"3,900","3,900"
Alabama,02/01/2021,"30,225","30,225"
Alaska,02/01/2021,"27,300","27,300"
American Samoa,02/01/2021,"7,800",0
Arizona,02/01/2021,"42,900","42,900"
Arkansas,02/01/2021,"18,525","18,525"
California,02/01/2021,"240,825","240,825"
Chicago,02/01/2021,"17,550","17,550"
Colorado,02/01/2021,"34,125","34,125"
Connecticut,02/01/2021,"23,400","23,400"
Delaware,02/01/2021,"6,825","6,825"
District of Columbia,02/01/2021,"4,875","4,875"
Federal Entities,02/01/2021,"119,925","104,325"
Florida,02/01/2021,"131,625","131,625"
Georgia,02/01/2021,"62,400","62,400"
Guam,02/01/2021,"7,800",0
Hawaii,02/01/2021,"9,750","9,750"
Idaho,02/01/2021,"10,725","10,725"
Illinois,02/01/2021,"62,400","62,400"
Indiana,02/01/2021,"40,950","40,950"
Iowa,02/01/2021,"19,500","19,500"
Kansas,02/01/2021,"17,550","17,550"
Kentucky,02/01/2021,"28,275","28,275"
Louisiana,02/01/2021,"29,250","29,250"
Maine,02/01/2021,"8,775","8,775"
Mariana Islands,02/01/2021,"7,800",0
Marshall Islands,02/01/2021,0,0
Maryland,02/01/2021,"38,025","38,025"
Massachusetts,02/01/2021,"43,875","43,875"
Michigan,02/01/2021,"62,400","62,400"
Micronesia,02/01/2021,0,0
Minnesota,02/01/2021,"34,125","34,125"
Mississippi,02/01/2021,"18,525","18,525"
Missouri,02/01/2021,"38,025","38,025"
Montana,02/01/2021,"6,825","6,825"
Nebraska,02/01/2021,"11,700","11,700"
Nevada,02/01/2021,"18,525","18,525"
New Hampshire,02/01/2021,"8,775","8,775"
New Jersey,02/01/2021,"55,575","55,575"
New Mexico,02/01/2021,"13,650","13,650"
New York,02/01/2021,"70,200","70,200"
New York City,02/01/2021,"53,625","53,625"
North Carolina,02/01/2021,"63,375","63,375"
North Dakota,02/01/2021,"4,875","4,875"
Ohio,02/01/2021,"72,150","72,150"
Oklahoma,02/01/2021,"24,375","24,375"
Oregon,02/01/2021,"26,325","26,325"
Palau,02/01/2021,0,0
Pennsylvania,02/01/2021,"71,175","71,175"
Philadelphia,02/01/2021,"10,725","10,725"
Puerto Rico,02/01/2021,"22,425","22,425"
Rhode Island,02/01/2021,"6,825","6,825"
South Carolina,02/01/2021,"31,200","31,200"
South Dakota,02/01/2021,"5,850","5,850"
Tennessee,02/01/2021,"41,925","41,925"
Texas,02/01/2021,"164,775","164,775"
U.S. Virgin Islands,02/01/2021,975,975
Utah,02/01/2021,"17,550","17,550"
Vermont,02/01/2021,"4,875","4,875"
Virginia,02/01/2021,"52,650","52,650"
Washington,02/01/2021,"45,825","45,825"
West Virginia,02/01/2021,"11,700","11,700"
Wisconsin,02/01/2021,"36,075","36,075"
Wyoming,02/01/2021,"3,900","3,900"
Alabama,01/25/2021,"30,225","30,225"
Alaska,01/25/2021,0,0
American Samoa,01/25/2021,0,0
Arizona,01/25/2021,"42,900","42,900"
Arkansas,01/25/2021,"18,525","18,525"
California,01/25/2021,"241,800","241,800"
Chicago,01/25/2021,"17,550","17,550"
Colorado,01/25/2021,"35,100","35,100"
Connecticut,01/25/2021,"23,400","23,400"
Delaware,01/25/2021,"6,825","6,825"
District of Columbia,01/25/2021,"4,875","4,875"
Federal Entities,01/25/2021,"105,300","105,300"
Florida,01/25/2021,"132,600","132,600"
Georgia,01/25/2021,"63,375","63,375"
Guam,01/25/2021,0,0
Hawaii,01/25/2021,"9,750","9,750"
Idaho,01/25/2021,"10,725","10,725"
Illinois,01/25/2021,"63,375","63,375"
Indiana,01/25/2021,"40,950","40,950"
Iowa,01/25/2021,"19,500","19,500"
Kansas,01/25/2021,"18,525","18,525"
Kentucky,01/25/2021,"28,275","28,275"
Louisiana,01/25/2021,"29,250","29,250"
Maine,01/25/2021,"8,775","8,775"
Mariana Islands,01/25/2021,0,0
Marshall Islands,01/25/2021,0,0
Maryland,01/25/2021,"38,025","38,025"
Massachusetts,01/25/2021,"43,875","43,875"
Michigan,01/25/2021,"62,400","62,400"
Micronesia,01/25/2021,0,0
Minnesota,01/25/2021,"34,125","34,125"
Mississippi,01/25/2021,"18,525","18,525"
Missouri,01/25/2021,"38,025","38,025"
Montana,01/25/2021,"6,825","6,825"
Nebraska,01/25/2021,"11,700","11,700"
Nevada,01/25/2021,"18,525","18,525"
New Hampshire,01/25/2021,"8,775","8,775"
New Jersey,01/25/2021,"55,575","55,575"
New Mexico,01/25/2021,"13,650","13,650"
New York,01/25/2021,"71,175","71,175"
New York City,01/25/2021,"53,625","53,625"
North Carolina,01/25/2021,"63,375","63,375"
North Dakota,01/25/2021,"4,875","4,875"
Ohio,01/25/2021,"73,125","73,125"
Oklahoma,01/25/2021,"24,375","24,375"
Oregon,01/25/2021,"26,325","26,325"
Palau,01/25/2021,0,0
Pennsylvania,01/25/2021,"71,175","71,175"
Philadelphia,01/25/2021,"10,725","10,725"
Puerto Rico,01/25/2021,"22,425","22,425"
Rhode Island,01/25/2021,"6,825","6,825"
South Carolina,01/25/2021,"31,200","31,200"
South Dakota,01/25/2021,"5,850","5,850"
Tennessee,01/25/2021,"41,925","41,925"
Texas,01/25/2021,"165,750","165,750"
U.S. Virgin Islands,01/25/2021,975,975
Utah,01/25/2021,"17,550","17,550"
Vermont,01/25/2021,"4,875","4,875"
Virginia,01/25/2021,"52,650","52,650"
Washington,01/25/2021,"46,800","46,800"
West Virginia,01/25/2021,"11,700","11,700"
Wisconsin,01/25/2021,"37,050","37,050"
Wyoming,01/25/2021,"3,900","3,900"
Alabama,01/18/2021,"30,225","30,225"
Alaska,01/18/2021,0,0
American Samoa,01/18/2021,0,0
Arizona,01/18/2021,"42,900","42,900"
Arkansas,01/18/2021,"18,525","18,525"
California,01/18/2021,"241,800","241,800"
Chicago,01/18/2021,"17,550","17,550"
Colorado,01/18/2021,"35,100","35,100"
Connecticut,01/18/2021,"23,400","23,400"
Delaware,01/18/2021,"6,825","6,825"
District of Columbia,01/18/2021,"4,875","4,875"
Federal Entities,01/18/2021,"105,300","105,300"
Florida,01/18/2021,"132,600","132,600"
Georgia,01/18/2021,"63,375","63,375"
Guam,01/18/2021,0,0
Hawaii,01/18/2021,"9,750","9,750"
Idaho,01/18/2021,"10,725","10,725"
Illinois,01/18/2021,"63,375","63,375"
Indiana,01/18/2021,"40,950","40,950"
Iowa,01/18/2021,"19,500","19,500"
Kansas,01/18/2021,"18,525","18,525"
Kentucky,01/18/2021,"28,275","28,275"
Louisiana,01/18/2021,"29,250","29,250"
Maine,01/18/2021,"8,775","8,775"
Mariana Islands,01/18/2021,0,0
Marshall Islands,01/18/2021,0,0
Maryland,01/18/2021,"38,025","38,025"
Massachusetts,01/18/2021,"43,875","43,875"
Michigan,01/18/2021,"62,400","62,400"
Micronesia,01/18/2021,0,0
Minnesota,01/18/2021,"34,125","34,125"
Mississippi,01/18/2021,"18,525","18,525"
Missouri,01/18/2021,"38,025","38,025"
Montana,01/18/2021,"6,825","6,825"
Nebraska,01/18/2021,"11,700","11,700"
Nevada,01/18/2021,"18,525","18,525"
New Hampshire,01/18/2021,"8,775","8,775"
New Jersey,01/18/2021,"55,575","55,575"
New Mexico,01/18/2021,"13,650","13,650"
New York,01/18/2021,"71,175","71,175"
New York City,01/18/2021,"53,625","53,625"
North Carolina,01/18/2021,"63,375","63,375"
North Dakota,01/18/2021,"4,875","4,875"
Ohio,01/18/2021,"73,125","73,125"
Oklahoma,01/18/2021,"24,375","24,375"
Oregon,01/18/2021,"26,325","26,325"
Palau,01/18/2021,0,0
Pennsylvania,01/18/2021,"71,175","71,175"
Philadelphia,01/18/2021,"10,725","10,725"
Puerto Rico,01/18/2021,"22,425","22,425"
Rhode Island,01/18/2021,"6,825","6,825"
South Carolina,01/18/2021,"31,200","31,200"
South Dakota,01/18/2021,"5,850","5,850"
Tennessee,01/18/2021,"41,925","41,925"
Texas,01/18/2021,"165,750","165,750"
U.S. Virgin Islands,01/18/2021,975,975
Utah,01/18/2021,"17,550","17,550"
Vermont,01/18/2021,"4,875","4,875"
Virginia,01/18/2021,"52,650","52,650"
Washington,01/18/2021,"46,800","46,800"
West Virginia,01/18/2021,"11,700","11,700"
Wisconsin,01/18/2021,"37,050","37,050"
Wyoming,01/18/2021,"3,900","3,900"
Alabama,01/11/2021,"29,250","29,250"
Alaska,01/11/2021,0,0
American Samoa,01/11/2021,0,0
Arizona,01/11/2021,"41,925","41,925"
Arkansas,01/11/2021,"18,525","18,525"
California,01/11/2021,"233,025","233,025"
Chicago,01/11/2021,"16,575","16,575"
Colorado,01/11/2021,"33,150","33,150"
Connecticut,01/11/2021,"22,425","22,425"
Delaware,01/11/2021,"5,850","5,850"
District of Columbia,01/11/2021,"4,875","4,875"
Federal Entities,01/11/2021,"102,375","102,375"
Florida,01/11/2021,"127,725","127,725"
Georgia,01/11/2021,"60,450","60,450"
Guam,01/11/2021,0,0
Hawaii,01/11/2021,"8,775","8,775"
Idaho,01/11/2021,"9,750","9,750"
Illinois,01/11/2021,"60,450","60,450"
Indiana,01/11/2021,"39,975","39,975"
Iowa,01/11/2021,"19,500","19,500"
Kansas,01/11/2021,"17,550","17,550"
Kentucky,01/11/2021,"27,300","27,300"
Louisiana,01/11/2021,"28,275","28,275"
Maine,01/11/2021,"8,775","8,775"
Mariana Islands,01/11/2021,0,0
Marshall Islands,01/11/2021,0,0
Maryland,01/11/2021,"36,075","36,075"
Massachusetts,01/11/2021,"42,900","42,900"
Michigan,01/11/2021,"60,450","60,450"
Micronesia,01/11/2021,0,0
Minnesota,01/11/2021,"33,150","33,150"
Mississippi,01/11/2021,"17,550","17,550"
Missouri,01/11/2021,"37,050","37,050"
Montana,01/11/2021,"6,825","6,825"
Nebraska,01/11/2021,"11,700","11,700"
Nevada,01/11/2021,"17,550","17,550"
New Hampshire,01/11/2021,"8,775","8,775"
New Jersey,01/11/2021,"53,625","53,625"
New Mexico,01/11/2021,"12,675","12,675"
New York,01/11/2021,"68,250","68,250"
New York City,01/11/2021,"51,675","51,675"
North Carolina,01/11/2021,"61,425","61,425"
North Dakota,01/11/2021,"4,875","4,875"
Ohio,01/11/2021,"70,200","70,200"
Oklahoma,01/11/2021,"23,400","23,400"
Oregon,01/11/2021,"25,350","25,350"
Palau,01/11/2021,0,0
Pennsylvania,01/11/2021,"69,225","69,225"
Philadelphia,01/11/2021,"9,750","9,750"
Puerto Rico,01/11/2021,"21,450","21,450"
Rhode Island,01/11/2021,"6,825","6,825"
South Carolina,01/11/2021,"30,225","30,225"
South Dakota,01/11/2021,"5,850","5,850"
Tennessee,01/11/2021,"39,975","39,975"
Texas,01/11/2021,"159,900","159,900"
U.S. Virgin Islands,01/11/2021,975,975
Utah,01/11/2021,"16,575","16,575"
Vermont,01/11/2021,"4,875","4,875"
Virginia,01/11/2021,"50,700","50,700"
Washington,01/11/2021,"57,525","57,525"
West Virginia,01/11/2021,"11,700","11,700"
Wisconsin,01/11/2021,"35,100","35,100"
Wyoming,01/11/2021,"3,900","3,900"
Alabama,01/04/2021,"29,250","29,250"
Alaska,01/04/2021,"27,300","27,300"
American Samoa,01/04/2021,"7,800",0
Arizona,01/04/2021,"41,925","41,925"
Arkansas,01/04/2021,"18,525","18,525"
California,01/04/2021,"232,050","232,050"
Chicago,01/04/2021,"16,575","16,575"
Colorado,01/04/2021,"33,150","33,150"
Connecticut,01/04/2021,"22,425","22,425"
Delaware,01/04/2021,"5,850","5,850"
District of Columbia,01/04/2021,"4,875","4,875"
Federal Entities,01/04/2021,"117,000","101,400"
Florida,01/04/2021,"126,750","126,750"
Georgia,01/04/2021,"60,450","60,450"
Guam,01/04/2021,"7,800",0
Hawaii,01/04/2021,"8,775","8,775"
Idaho,01/04/2021,"9,750","9,750"
Illinois,01/04/2021,"60,450","60,450"
Indiana,01/04/2021,"39,000","39,000"
Iowa,01/04/2021,"18,525","18,525"
Kansas,01/04/2021,"17,550","17,550"
Kentucky,01/04/2021,"27,300","27,300"
Louisiana,01/04/2021,"28,275","28,275"
Maine,01/04/2021,"8,775","8,775"
Mariana Islands,01/04/2021,"7,800",0
Marshall Islands,01/04/2021,0,0
Maryland,01/04/2021,"36,075","36,075"
Massachusetts,01/04/2021,"42,900","42,900"
Michigan,01/04/2021,"60,450","60,450"
Micronesia,01/04/2021,0,0
Minnesota,01/04/2021,"33,150","33,150"
Mississippi,01/04/2021,"17,550","17,550"
Missouri,01/04/2021,"37,050","37,050"
Montana,01/04/2021,"6,825","6,825"
Nebraska,01/04/2021,"11,700","11,700"
Nevada,01/04/2021,"17,550","17,550"
New Hampshire,01/04/2021,"8,775","8,775"
New Jersey,01/04/2021,"53,625","53,625"
New Mexico,01/04/2021,"12,675","12,675"
New York,01/04/2021,"68,250","68,250"
New York City,01/04/2021,"51,675","51,675"
North Carolina,01/04/2021,"61,425","61,425"
North Dakota,01/04/2021,"4,875","4,875"
Ohio,01/04/2021,"70,200","70,200"
Oklahoma,01/04/2021,"23,400","23,400"
Oregon,01/04/2021,"25,350","25,350"
Palau,01/04/2021,0,0
Pennsylvania,01/04/2021,"69,225","69,225"
Philadelphia,01/04/2021,"9,750","9,750"
Puerto Rico,01/04/2021,"21,450","21,450"
Rhode Island,01/04/2021,"6,825","6,825"
South Carolina,01/04/2021,"30,225","30,225"
South Dakota,01/04/2021,"5,850","5,850"
Tennessee,01/04/2021,"39,975","39,975"
Texas,01/04/2021,"158,925","158,925"
U.S. Virgin Islands,01/04/2021,975,975
Utah,01/04/2021,"16,575","16,575"
Vermont,01/04/2021,"3,900","3,900"
Virginia,01/04/2021,"50,700","50,700"
Washington,01/04/2021,"44,850","44,850"
West Virginia,01/04/2021,"11,700","11,700"
Wisconsin,01/04/2021,"35,100","35,100"
Wyoming,01/04/2021,"3,900","3,900"
Alabama,12/28/2020,"38,025","38,025"
Alaska,12/28/2020,0,0
American Samoa,12/28/2020,0,0
Arizona,12/28/2020,"53,625","53,625"
Arkansas,12/28/2020,"23,400","23,400"
California,12/28/2020,"297,375","297,375"
Chicago,12/28/2020,"21,450","21,450"
Colorado,12/28/2020,"42,900","42,900"
Connecticut,12/28/2020,"28,275","28,275"
Delaware,12/28/2020,"7,800","7,800"
District of Columbia,12/28/2020,"5,850","5,850"
Federal Entities,12/28/2020,"128,700","128,700"
Florida,12/28/2020,"162,825","162,825"
Georgia,12/28/2020,"77,025","77,025"
Guam,12/28/2020,0,0
Hawaii,12/28/2020,"11,700","11,700"
Idaho,12/28/2020,"12,675","12,675"
Illinois,12/28/2020,"78,000","78,000"
Indiana,12/28/2020,"50,700","50,700"
Iowa,12/28/2020,"24,375","24,375"
Kansas,12/28/2020,"22,425","22,425"
Kentucky,12/28/2020,"34,125","34,125"
Louisiana,12/28/2020,"36,075","36,075"
Maine,12/28/2020,"10,725","10,725"
Mariana Islands,12/28/2020,0,0
Marshall Islands,12/28/2020,0,0
Maryland,12/28/2020,"46,800","46,800"
Massachusetts,12/28/2020,"54,600","54,600"
Michigan,12/28/2020,"77,025","77,025"
Micronesia,12/28/2020,0,0
Minnesota,12/28/2020,"42,900","42,900"
Mississippi,12/28/2020,"22,425","22,425"
Missouri,12/28/2020,"46,800","46,800"
Montana,12/28/2020,"8,775","8,775"
Nebraska,12/28/2020,"14,625","14,625"
Nevada,12/28/2020,"22,425","22,425"
New Hampshire,12/28/2020,"10,725","10,725"
New Jersey,12/28/2020,"68,250","68,250"
New Mexico,12/28/2020,"16,575","16,575"
New York,12/28/2020,"87,750","87,750"
New York City,12/28/2020,"66,300","66,300"
North Carolina,12/28/2020,"78,000","78,000"
North Dakota,12/28/2020,"5,850","5,850"
Ohio,12/28/2020,"89,700","89,700"
Oklahoma,12/28/2020,"29,250","29,250"
Oregon,12/28/2020,"32,175","32,175"
Palau,12/28/2020,0,0
Pennsylvania,12/28/2020,"88,725","88,725"
Philadelphia,12/28/2020,"12,675","12,675"
Puerto Rico,12/28/2020,"27,300","27,300"
Rhode Island,12/28/2020,"8,775","8,775"
South Carolina,12/28/2020,"39,000","39,000"
South Dakota,12/28/2020,"6,825","6,825"
Tennessee,12/28/2020,"51,675","51,675"
Texas,12/28/2020,"203,775","203,775"
U.S. Virgin Islands,12/28/2020,975,975
Utah,12/28/2020,"21,450","21,450"
Vermont,12/28/2020,"5,850","5,850"
Virginia,12/28/2020,"65,325","65,325"
Washington,12/28/2020,"57,525","57,525"
West Virginia,12/28/2020,"14,625","14,625"
Wisconsin,12/28/2020,"44,850","44,850"
Wyoming,12/28/2020,"4,875","4,875"
Alabama,12/21/2020,"29,250","29,250"
Alaska,12/21/2020,0,0
American Samoa,12/21/2020,0,0
Arizona,12/21/2020,"41,925","41,925"
Arkansas,12/21/2020,"18,525","18,525"
California,12/21/2020,"233,025","233,025"
Chicago,12/21/2020,"16,575","16,575"
Colorado,12/21/2020,"33,150","33,150"
Connecticut,12/21/2020,"22,425","22,425"
Delaware,12/21/2020,"5,850","5,850"
District of Columbia,12/21/2020,"4,875","4,875"
Federal Entities,12/21/2020,"102,375","102,375"
Florida,12/21/2020,"127,725","127,725"
Georgia,12/21/2020,"60,450","60,450"
Guam,12/21/2020,0,0
Hawaii,12/21/2020,"8,775","8,775"
Idaho,12/21/2020,"9,750","9,750"
Illinois,12/21/2020,"60,450","60,450"
Indiana,12/21/2020,"39,975","39,975"
Iowa,12/21/2020,"19,500","19,500"
Kansas,12/21/2020,"17,550","17,550"
Kentucky,12/21/2020,"27,300","27,300"
Louisiana,12/21/2020,"28,275","28,275"
Maine,12/21/2020,"8,775","8,775"
Mariana Islands,12/21/2020,0,0
Marshall Islands,12/21/2020,0,0
Maryland,12/21/2020,"36,075","36,075"
Massachusetts,12/21/2020,"42,900","42,900"
Michigan,12/21/2020,"60,450","60,450"
Micronesia,12/21/2020,0,0
Minnesota,12/21/2020,"33,150","33,150"
Mississippi,12/21/2020,"17,550","17,550"
Missouri,12/21/2020,"37,050","37,050"
Montana,12/21/2020,"6,825","6,825"
Nebraska,12/21/2020,"11,700","11,700"
Nevada,12/21/2020,"17,550","17,550"
New Hampshire,12/21/2020,"8,775","8,775"
New Jersey,12/21/2020,"53,625","53,625"
New Mexico,12/21/2020,"12,675","12,675"
New York,12/21/2020,"68,250","68,250"
New York City,12/21/2020,"51,675","51,675"
North Carolina,12/21/2020,"61,425","61,425"
North Dakota,12/21/2020,"4,875","4,875"
Ohio,12/21/2020,"70,200","70,200"
Oklahoma,12/21/2020,"23,400","23,400"
Oregon,12/21/2020,"25,350","25,350"
Palau,12/21/2020,0,0
Pennsylvania,12/21/2020,"69,225","69,225"
Philadelphia,12/21/2020,"9,750","9,750"
Puerto Rico,12/21/2020,"21,450","21,450"
Rhode Island,12/21/2020,"6,825","6,825"
South Carolina,12/21/2020,"30,225","30,225"
South Dakota,12/21/2020,"5,850","5,850"
Tennessee,12/21/2020,"39,975","39,975"
Texas,12/21/2020,"159,900","159,900"
U.S. Virgin Islands,12/21/2020,975,975
Utah,12/21/2020,"16,575","16,575"
Vermont,12/21/2020,"4,875","4,875"
Virginia,12/21/2020,"50,700","50,700"
Washington,12/21/2020,"44,850","44,850"
West Virginia,12/21/2020,"11,700","11,700"
Wisconsin,12/21/2020,"35,100","35,100"
Wyoming,12/21/2020,"3,900","3,900"
Alabama,12/14/2020,"40,950","40,950"
Alaska,12/14/2020,"35,100","35,100"
American Samoa,12/14/2020,"5,850",0
Arizona,12/14/2020,"58,500","58,500"
Arkansas,12/14/2020,"25,350","25,350"
California,12/14/2020,"327,600","327,600"
Chicago,12/14/2020,"23,400","23,400"
Colorado,12/14/2020,"46,800","46,800"
Connecticut,12/14/2020,"31,200","31,200"
Delaware,12/14/2020,"8,775","8,775"
District of Columbia,12/14/2020,"6,825","6,825"
Federal Entities,12/14/2020,"156,000","142,350"
Florida,12/14/2020,"179,400","179,400"
Georgia,12/14/2020,"84,825","84,825"
Guam,12/14/2020,"11,700",0
Hawaii,12/14/2020,"12,675","12,675"
Idaho,12/14/2020,"13,650","13,650"
Illinois,12/14/2020,"85,800","85,800"
Indiana,12/14/2020,"55,575","55,575"
Iowa,12/14/2020,"26,325","26,325"
Kansas,12/14/2020,"24,375","24,375"
Kentucky,12/14/2020,"38,025","38,025"
Louisiana,12/14/2020,"39,000","39,000"
Maine,12/14/2020,"12,675","12,675"
Mariana Islands,12/14/2020,"5,850",0
Marshall Islands,12/14/2020,0,0
Maryland,12/14/2020,"50,700","50,700"
Massachusetts,12/14/2020,"59,475","59,475"
Michigan,12/14/2020,"84,825","84,825"
Micronesia,12/14/2020,0,0
Minnesota,12/14/2020,"46,800","46,800"
Mississippi,12/14/2020,"25,350","25,350"
Missouri,12/14/2020,"51,675","51,675"
Montana,12/14/2020,"9,750","9,750"
Nebraska,12/14/2020,"16,575","16,575"
Nevada,12/14/2020,"25,350","25,350"
New Hampshire,12/14/2020,"12,675","12,675"
New Jersey,12/14/2020,"76,050","76,050"
New Mexico,12/14/2020,"17,550","17,550"
New York,12/14/2020,"96,525","96,525"
New York City,12/14/2020,"73,125","73,125"
North Carolina,12/14/2020,"85,800","85,800"
North Dakota,12/14/2020,"6,825","6,825"
Ohio,12/14/2020,"98,475","98,475"
Oklahoma,12/14/2020,"33,150","33,150"
Oregon,12/14/2020,"35,100","35,100"
Palau,12/14/2020,0,0
Pennsylvania,12/14/2020,"97,500","97,500"
Philadelphia,12/14/2020,"13,650","13,650"
Puerto Rico,12/14/2020,"30,225","30,225"
Rhode Island,12/14/2020,"9,750","9,750"
South Carolina,12/14/2020,"42,900","42,900"
South Dakota,12/14/2020,"7,800","7,800"
Tennessee,12/14/2020,"56,550","56,550"
Texas,12/14/2020,"224,250","224,250"
U.S. Virgin Islands,12/14/2020,975,975
Utah,12/14/2020,"23,400","23,400"
Vermont,12/14/2020,"5,850","5,850"
Virginia,12/14/2020,"72,150","72,150"
Washington,12/14/2020,"62,400","62,400"
West Virginia,12/14/2020,"16,575","16,575"
Wisconsin,12/14/2020,"49,725","49,725"
Wyoming,12/14/2020,"4,875","4,875"
